president,start_date,end_date,approval,disapproval,unsure,source_url
George W. Bush,05/05/2003,05/07/2003,69.0,28.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,04/22/2003,04/23/2003,70.0,26.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,04/14/2003,04/16/2003,71.0,24.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,04/07/2003,04/09/2003,69.0,26.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,04/05/2003,04/06/2003,70.0,27.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/29/2003,03/30/2003,71.0,26.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/24/2003,03/25/2003,69.0,27.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/22/2003,03/23/2003,71.0,25.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/14/2003,03/15/2003,58.0,38.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/03/2003,03/05/2003,57.0,37.0,6,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,02/24/2003,02/26/2003,57.0,37.0,6,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,2/17/2003,2/19/2003,58.0,37.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,2/7/2003,2/9/2003,61.0,34.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,02/03/2003,02/06/2003,59.0,35.0,6,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1/31/2003,2/2/2003,61.0,35.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,01/23/2003,1/25/2003,60.0,36.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1/20/2003,01/22/2003,58.0,36.0,6,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1/13/2003,1/16/2003,61.0,34.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1/10/2003,1/12/2003,58.0,37.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,01/03/2003,01/05/2003,63.0,32.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/19/2002,12/22/2002,61.0,32.0,7,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/16/2002,12/17/2002,63.0,33.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/09/2002,12/10/2002,63.0,32.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/05/2002,12/08/2002,64.0,29.0,7,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,11/22/2002,11/24/2002,65.0,28.0,7,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,11/11/2002,11/14/2002,66.0,26.0,8,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
