race_id,cycle,state_abbrev,seat,recent_pres_year,older_pres_year,lean_recent_pctpt,lean_older_pctpt,pvi_default_067_033_pctpt
8943,2022,OK,Class III,2020,2016,-38.29757132,-40.66558326,-39.07901526
9482,2022,OK,Class II,2020,2016,-38.29757132,-40.66558326,-39.07901526
8944,2022,OR,Class III,2020,2016,12.19682164,10.25556911,11.55620831
8945,2022,PA,Class III,2020,2016,-3.23908181,-2.80718040,-3.09655434
8946,2022,SC,Class III,2020,2016,-16.27070983,-16.97662150,-16.50366068
8947,2022,SD,Class III,2020,2016,-31.28705205,-33.99982494,-32.18226711
8948,2022,UT,Class III,2020,2016,-25.80470257,-26.82190547,-26.14037953
8949,2022,VT,Class III,2020,2016,32.18088078,28.31674387,30.90571560
8950,2022,WA,Class III,2020,2016,15.43351404,15.51775362,15.46131310
8951,2022,WI,Class III,2020,2016,-3.77936580,-2.87208686,-3.47996375
9505,2024,AZ,Class I,2020,2016,-4.10382897,-5.83615558,-4.67549675
10013,2024,CA,Class I,2020,2016,25.40033039,30.20031281,26.98432459
9506,2024,CA,Class I,2020,2016,25.40033039,30.20031281,26.98432459
9507,2024,CT,Class I,2020,2016,15.97260585,12.22698625,14.73655138
9508,2024,DE,Class I,2020,2016,14.83599600,9.94113411,13.22069158
9509,2024,FL,Class I,2020,2016,-7.80700165,-3.29377973,-6.31763842
9510,2024,HI,Class I,2020,2016,25.64783696,32.82656612,28.01681759
9511,2024,IN,Class I,2020,2016,-20.80758834,-22.29072783,-21.29702437
9514,2024,MA,Class I,2020,2016,29.81360675,27.24644860,28.96644456
9513,2024,MD,Class I,2020,2016,29.64060176,25.97639059,28.43141208
9512,2024,ME,Class I,2020,2016,4.92331683,1.13747348,3.67398853
9515,2024,MI,Class I,2020,2016,-1.59037364,-2.29144522,-1.82172726
9516,2024,MN,Class I,2020,2016,2.86153497,-0.39272137,1.78763038
9518,2024,MO,Class I,2020,2016,-20.08913362,-21.69323077,-20.61848568
9517,2024,MS,Class I,2020,2016,-21.18746398,-20.23580343,-20.87341600
9519,2024,MT,Class I,2020,2016,-21.21185251,-24.27543742,-22.22283553
9525,2024,ND,Class I,2020,2016,-38.85230918,-41.67459457,-39.78366336
9520,2024,NE,Class I,2020,2016,-23.98559682,-29.15145701,-25.69033068
9553,2024,NE,Class II,2020,2016,-23.98559682,-29.15145701,-25.69033068
9522,2024,NJ,Class I,2020,2016,11.72507484,12.51227150,11.98484974
9523,2024,NM,Class I,2020,2016,6.61948797,7.24548109,6.82606570
9521,2024,NV,Class I,2020,2016,-1.97125765,0.53131006,-1.14541031
9524,2024,NY,Class I,2020,2016,19.01617746,21.48877359,19.83213418
9526,2024,OH,Class I,2020,2016,-12.57088762,-10.59147794,-11.91768243
9527,2024,PA,Class I,2020,2016,-3.23908181,-2.80718040,-3.09655434
9528,2024,RI,Class I,2020,2016,16.78122744,14.58954065,16.05797080
9529,2024,TN,Class I,2020,2016,-28.07303307,-29.30479487,-28.47951447
9530,2024,TX,Class I,2020,2016,-10.07893480,-11.48255994,-10.54213110
9531,2024,UT,Class I,2020,2016,-25.80470257,-26.82190547,-26.14037953
9504,2024,VA,Class I,2020,2016,5.89188167,3.59664377,5.13445316
9532,2024,VT,Class I,2020,2016,32.18088078,28.31674387,30.90571560
9533,2024,WA,Class I,2020,2016,15.43351404,15.51775362,15.46131310
9534,2024,WI,Class I,2020,2016,-3.77936580,-2.87208686,-3.47996375
9479,2024,WV,Class I,2020,2016,-44.01455696,-46.37821328,-44.79456354
9535,2024,WY,Class I,2020,2016,-49.37836108,-53.46674804,-50.72752878
